LeaveVote,gender,age,edlevel,hhincome,econPersonalRetro1,EuropeanIdentity,EnglishIdentity,BritishIdentity,PolMistrust,GovDisapproval,PopulismScale,ConVote,LabVote,LibVote,SNPPCVote,UKIP,euUKNotRich,euNotPreventWar,FreeTradeBad,euParlOverRide1,euUndermineIdentity1,lessEUmigrants,effectsEUTrade1,effectsEUImmigrationLower
1,1,62,3,4,3,3,7,3,4,3,15,1,0,0,0,0,4,4,2,5,4,7,3,4
0,2,66,4,3,1,5,1,1,5,5,15,0,0,0,1,0,2,1,1,2,2,3,1,5
0,1,42,3,6,2,6,6,6,3,3,15,0,1,0,0,0,1,1,1,2,2,5,2,4
1,1,80,4,4,4,4,7,7,2,3,15,1,0,0,0,0,4,3,1,4,4,6,4,4
1,1,70,3,3,3,1,1,7,5,3,15,1,0,0,0,0,4,3,3,5,5,7,3,5
1,2,69,4,4,3,2,4,7,5,3,15,1,0,0,0,0,4,4,1,4,4,5,4,4
0,2,18,2,4,1,2,4,4,7,4,15,0,1,0,0,0,2,4,1,2,1,5,3,4
0,1,47,4,6,4,3,7,7,3,2,13,1,0,0,0,0,2,2,1,2,2,5,3,3
0,2,65,5,2,2,5,2,5,5,3,15,0,1,0,0,0,3,5,1,1,2,2,2,3
1,1,69,3,2,3,4,7,7,7,5,15,0,1,0,0,0,3,3,1,2,5,10,3,4
0,2,32,4,4,3,5,6,4,6,2,15,0,0,0,0,0,3,2,1,1,4,1,2,4
0,2,69,2,4,2,1,6,6,6,4,15,1,0,0,0,0,4,2,1,5,5,5,3,2
1,1,53,0,7,3,1,1,7,7,5,23,0,0,0,0,1,4,5,2,5,5,10,4,5
1,1,60,0,1,1,1,7,7,7,5,15,0,0,0,0,1,5,5,2,5,5,10,5,5
1,2,51,2,4,4,4,7,7,4,4,15,0,0,0,0,1,4,4,1,3,5,10,3,1
0,2,23,4,4,3,4,5,5,4,4,17,0,1,0,0,0,2,3,1,3,3,5,1,4
0,2,46,5,6,3,5,6,7,3,3,15,0,1,1,0,0,2,2,1,2,2,2,2,3
0,2,21,3,1,3,3,4,4,5,4,15,0,0,0,0,0,3,3,1,1,1,3,2,4
0,1,60,3,2,3,7,1,7,3,2,15,1,0,0,0,0,2,2,2,4,3,7,4,1
0,2,31,5,5,3,5,1,3,5,4,15,0,0,0,1,0,2,2,1,2,2,2,2,3
0,2,39,3,3,3,5,6,5,3,4,25,0,1,0,0,0,3,1,3,2,2,10,1,3
1,2,61,2,4,2,4,5,5,7,5,15,0,0,0,0,1,4,5,2,5,5,9,3,4
0,2,65,3,4,3,6,4,6,6,4,15,0,1,0,0,0,2,2,1,3,2,3,2,3
0,2,29,4,2,2,3,7,6,5,4,15,0,1,0,0,0,4,2,1,3,4,3,2,4
0,2,36,4,5,1,5,6,7,4,5,15,0,1,0,0,0,3,5,1,2,3,1,4,3
1,1,57,4,4,4,4,7,7,4,2,15,1,0,0,0,0,3,3,1,4,4,6,4,4
0,1,36,3,3,3,4,7,7,3,3,18,0,1,0,0,0,3,4,1,2,4,5,3,4
0,1,39,4,4,3,5,4,5,2,5,15,0,0,0,0,0,1,1,1,1,1,5,4,3
1,1,72,4,4,3,5,1,5,7,4,25,0,0,0,0,0,3,2,1,4,5,2,3,4
0,1,45,4,4,1,6,1,4,4,5,15,0,1,0,0,0,2,1,1,1,1,0,1,3
1,2,28,2,4,3,2,6,4,6,4,15,0,0,0,0,0,3,3,3,4,4,4,3,3
0,1,39,5,6,2,5,1,2,4,5,15,0,0,0,1,0,1,1,1,1,2,5,2,3
0,2,78,4,2,3,5,1,7,6,3,15,0,1,1,0,0,2,3,1,2,2,3,2,4
1,2,36,4,6,2,1,7,4,7,5,15,0,0,0,0,1,5,5,2,5,5,10,4,5
0,2,66,4,7,3,1,4,5,6,3,15,0,0,0,0,0,2,2,1,3,3,5,2,3
0,2,34,3,6,3,7,6,5,4,2,18,0,1,0,0,0,2,2,1,4,4,5,2,3
1,1,77,3,2,2,1,7,7,7,5,15,0,1,0,0,0,5,3,2,2,5,10,3,5
0,2,32,5,4,3,5,6,6,2,1,15,1,0,0,0,0,3,1,3,4,4,2,3,3
1,2,49,3,4,4,2,4,5,5,2,17,1,0,0,0,0,3,3,1,4,4,8,3,4
1,2,55,2,6,2,3,7,7,3,1,15,1,0,0,0,0,3,4,1,5,4,5,4,4
1,2,66,4,2,3,2,7,7,5,2,15,1,0,0,0,0,4,3,1,3,5,5,3,4
1,2,67,1,4,2,3,7,7,7,4,15,0,1,0,0,0,4,3,2,5,5,6,4,4
1,1,61,1,3,1,3,1,7,7,5,20,0,0,0,1,0,5,2,1,3,4,5,3,4
1,1,64,3,4,2,1,7,1,7,5,15,0,0,0,0,1,4,4,2,5,5,8,3,4
0,1,67,4,4,4,6,1,7,6,2,15,0,1,0,0,0,2,3,1,4,1,5,1,3
1,2,40,4,3,3,6,1,6,5,4,15,0,0,0,0,0,3,5,3,5,5,5,3,5
0,2,48,3,3,3,5,5,6,3,3,18,0,1,0,0,0,3,2,2,3,3,3,2,3
1,2,75,2,2,3,1,7,7,5,4,15,0,0,0,0,1,4,3,2,5,4,6,3,4
0,2,54,3,6,3,7,7,7,5,3,15,1,0,0,0,0,3,3,3,3,3,10,3,2
1,2,62,2,2,3,4,7,7,4,5,15,0,1,0,0,0,4,3,2,4,4,10,4,4
0,2,43,4,8,3,4,7,7,2,2,12,1,0,0,0,0,2,3,1,2,1,4,1,4
0,1,52,2,5,2,4,1,1,7,5,15,0,0,0,1,0,4,1,2,2,2,2,3,3
0,2,18,2,4,2,3,6,5,6,3,15,0,1,1,0,0,2,3,1,4,4,2,2,2
1,2,57,2,4,3,7,5,7,7,4,15,0,0,0,0,1,3,3,2,3,3,9,4,1
1,2,52,2,6,2,4,7,7,4,3,15,1,0,0,0,0,4,3,1,3,4,10,3,4
1,1,61,2,6,2,2,1,7,3,2,19,0,0,0,0,1,3,3,1,5,5,10,4,4
1,2,32,4,4,3,1,7,4,6,3,15,0,1,0,0,0,3,3,2,3,3,5,3,3
0,1,55,5,6,2,5,3,3,6,5,12,0,1,0,0,0,3,2,1,2,2,5,2,3
1,1,47,3,7,3,1,7,7,7,3,15,0,0,0,0,1,4,4,3,4,4,4,3,4
1,1,69,4,4,3,1,7,4,6,2,15,0,0,0,0,0,4,4,3,5,5,10,4,5
0,2,65,4,3,3,4,4,4,4,4,15,0,1,0,0,0,2,2,1,2,2,5,2,3
0,1,28,3,6,5,5,1,1,7,5,15,0,0,0,1,0,2,1,1,3,3,4,2,4
0,1,78,4,4,3,7,6,6,6,4,19,0,1,0,0,0,2,1,1,2,2,3,3,4
1,2,72,2,1,3,2,5,6,4,2,15,1,0,0,0,0,3,4,2,4,5,8,4,4
0,2,29,3,4,3,1,5,7,7,5,15,0,1,1,0,0,2,2,3,5,4,10,3,1
1,2,65,2,2,4,3,6,6,6,3,15,0,0,0,0,0,3,3,3,4,4,7,3,4
1,2,61,3,7,3,5,7,7,4,3,15,0,0,0,0,0,3,3,1,5,4,4,3,3
1,1,39,4,4,3,2,4,5,7,4,15,0,0,0,0,0,4,2,3,4,4,5,3,3
1,1,73,2,2,2,3,7,6,7,4,15,0,0,0,0,1,4,4,2,4,4,10,3,3
1,1,63,3,2,3,1,5,2,7,4,15,0,0,0,0,0,4,3,2,5,5,5,3,4
1,1,47,3,7,3,6,6,7,2,2,20,1,0,0,0,0,2,2,3,4,4,3,4,2
0,2,64,4,6,3,5,7,7,4,2,16,1,0,0,0,0,3,2,1,5,4,5,2,3
1,1,78,3,2,2,2,4,7,3,4,15,0,0,0,0,1,3,3,1,5,5,10,3,4
0,1,31,2,4,3,5,6,5,3,3,15,0,1,1,0,0,3,3,3,3,3,3,3,1
0,2,27,4,6,4,5,7,6,5,4,15,0,0,0,0,0,2,3,1,2,2,5,4,5
0,2,59,4,3,2,6,1,1,6,5,15,0,0,0,1,0,2,3,1,2,2,3,1,3
1,2,27,5,6,2,2,5,5,4,2,15,1,0,0,0,0,4,5,1,5,4,6,3,4
0,2,18,3,2,3,6,4,6,3,2,12,0,1,0,0,0,1,1,1,2,1,1,2,3
1,1,59,2,4,4,1,7,1,7,4,15,0,0,0,0,1,4,4,2,5,5,10,4,5
1,2,61,2,1,1,3,7,6,4,5,17,0,0,0,0,0,4,3,2,4,4,10,3,4
0,2,58,5,4,3,5,1,5,3,4,15,0,0,0,0,0,2,2,1,2,3,5,1,4
0,1,55,2,7,3,6,6,6,6,4,15,0,1,0,0,0,2,2,1,4,2,4,2,3
1,1,80,0,2,3,1,4,7,5,3,15,1,0,0,0,0,4,4,2,4,5,7,3,4
1,2,49,3,3,5,1,7,7,6,4,15,0,0,0,0,0,3,2,1,5,4,10,3,5
0,2,42,5,5,3,4,7,7,4,4,15,0,1,1,0,0,2,2,1,3,2,3,2,4
1,1,34,2,2,3,4,7,7,4,3,15,0,1,0,0,0,3,3,1,3,3,10,4,2
1,2,71,3,3,3,2,7,7,5,4,15,0,0,0,0,1,4,3,1,5,5,9,4,5
1,2,45,1,4,3,1,7,7,7,5,24,0,0,0,0,1,5,5,2,5,5,4,4,5
1,1,24,0,3,2,1,6,5,7,5,15,0,1,0,0,0,5,2,3,2,4,10,2,4
0,1,41,4,5,1,5,7,7,4,2,15,1,0,0,0,0,1,2,1,4,1,5,2,3
0,2,47,4,4,4,5,1,3,7,5,15,0,0,0,1,0,3,3,1,2,3,6,2,4
0,1,56,2,4,4,6,7,6,5,1,18,1,0,0,0,0,2,3,1,4,2,4,2,2
0,2,51,4,7,3,1,1,5,4,3,18,0,0,0,0,0,2,3,3,2,2,5,3,3
1,2,66,1,4,3,4,7,6,4,3,15,0,0,0,0,1,3,3,1,5,5,9,4,4
0,2,22,3,1,4,4,4,6,5,2,15,0,0,0,0,0,2,2,1,2,2,4,4,4
0,1,45,4,4,4,3,3,4,6,4,12,0,1,0,0,0,3,2,1,2,2,4,2,4
0,1,69,4,3,3,7,7,3,6,4,15,0,0,0,0,0,2,3,1,2,1,3,2,3
0,2,72,3,7,2,5,5,4,4,5,15,0,1,0,0,0,3,2,1,2,2,3,2,3
0,1,72,2,5,2,5,2,7,3,4,15,0,1,0,0,0,2,1,1,2,2,3,2,3
0,2,29,1,5,3,5,6,4,6,4,19,0,1,0,0,0,2,2,1,4,2,4,3,3
1,2,63,4,3,3,1,7,5,4,2,15,1,0,0,0,0,4,3,1,5,5,6,3,4
0,2,58,4,3,1,5,7,7,3,3,15,0,1,0,0,0,3,3,2,3,3,6,2,3
0,2,72,4,2,2,7,7,7,4,5,12,0,1,0,0,0,2,2,1,2,1,6,2,3
1,2,54,0,4,3,1,7,2,4,4,15,1,0,0,0,0,4,4,2,5,4,10,3,5
0,2,26,4,7,4,6,3,4,5,4,15,0,1,0,0,0,2,1,1,2,2,4,2,4
0,1,69,5,6,3,7,5,5,2,4,15,0,0,0,0,0,2,2,1,2,2,4,4,3
0,2,70,1,4,3,5,1,6,5,3,15,0,1,0,0,0,3,3,1,4,3,6,4,2
0,2,61,4,4,3,4,7,7,5,3,15,1,0,0,0,0,4,2,1,5,4,9,2,4
1,2,67,0,2,3,1,7,7,6,4,22,0,1,0,0,0,4,4,3,2,2,8,4,2
1,1,49,2,6,4,2,7,7,3,2,15,1,0,0,0,0,4,4,2,5,4,6,4,4
0,1,63,5,7,5,5,7,7,5,2,15,1,0,0,0,0,3,1,1,4,3,5,3,4
1,1,23,5,6,3,1,4,6,2,2,15,1,0,0,0,0,5,2,3,5,5,10,3,5
0,1,43,1,6,2,5,5,6,2,4,15,1,0,0,0,0,5,1,1,4,5,6,2,2
0,1,68,0,3,3,5,7,7,2,2,15,1,0,0,0,0,2,2,1,3,2,4,1,1
1,1,64,2,3,3,1,7,7,6,2,15,0,1,1,0,0,4,4,1,5,5,6,3,4
1,2,54,2,3,1,1,5,7,7,4,15,0,0,0,0,1,4,4,1,4,5,9,3,4
0,1,58,3,2,2,5,7,4,7,4,15,0,0,0,0,0,2,3,1,2,2,5,2,3
1,2,65,4,3,2,6,2,3,6,4,15,0,1,0,0,0,4,2,2,5,3,5,3,4
0,1,52,4,5,5,6,5,6,6,5,15,0,1,0,0,0,2,1,1,2,2,2,2,5
0,1,71,5,4,3,7,1,4,4,4,15,0,0,0,1,0,2,1,2,1,1,6,3,3
1,2,22,2,2,1,4,4,7,4,2,19,0,0,0,0,1,1,5,3,3,4,7,3,2
1,2,74,0,4,2,1,1,4,7,5,15,0,0,0,1,0,4,3,1,5,4,9,3,4
0,2,27,4,4,3,3,4,5,4,5,15,0,1,0,0,0,3,2,1,2,2,5,3,4
1,2,53,2,4,3,1,1,1,7,3,15,0,0,0,0,0,5,4,2,5,5,5,3,4
0,1,55,3,2,3,7,1,1,3,4,12,0,0,0,1,0,1,1,1,1,1,3,2,3
0,2,64,2,4,3,4,7,7,2,2,15,1,0,0,0,0,3,2,1,4,3,10,3,3
0,2,30,4,3,2,4,4,4,7,4,15,0,1,0,0,0,3,2,1,4,3,7,2,3
0,1,50,4,5,3,5,6,5,6,4,15,0,1,0,0,0,3,3,1,4,2,4,4,4
0,2,36,4,3,4,4,7,7,4,2,15,1,0,0,0,0,2,2,1,2,2,5,2,3
0,1,63,4,4,3,6,1,4,3,4,15,0,1,0,0,0,2,2,1,2,2,4,2,3
1,2,69,3,1,2,4,7,7,3,2,15,1,0,0,0,0,4,4,2,4,4,10,3,4
0,2,64,2,4,3,2,7,7,2,2,15,1,0,0,0,0,2,3,1,4,3,10,3,3
1,2,45,3,4,4,1,7,7,5,3,15,0,0,0,0,0,3,3,3,4,4,6,3,3
0,2,56,0,2,3,5,6,6,7,4,15,0,1,0,0,0,2,3,1,5,2,4,2,2
1,2,18,3,7,2,2,6,5,5,2,15,1,0,0,0,0,3,3,1,4,4,5,2,4
0,1,34,3,1,2,6,6,5,6,5,24,0,1,0,0,0,1,1,1,1,1,5,1,3
1,1,64,0,5,3,5,7,7,7,4,15,0,0,0,0,1,3,3,3,4,4,9,3,4
0,1,36,4,2,3,5,6,6,3,2,15,1,0,0,0,0,3,3,3,2,2,4,3,3
0,1,73,4,2,3,6,4,4,6,4,15,0,0,0,0,0,3,2,1,2,2,5,2,3
0,2,22,4,1,3,1,2,3,5,5,15,0,1,0,0,0,2,3,1,2,2,3,2,3
1,2,62,4,1,1,1,1,4,7,5,15,0,0,0,1,0,5,5,2,5,5,8,4,4
1,1,53,2,4,4,1,7,7,7,3,15,0,0,0,0,1,5,5,2,5,5,10,5,5
1,2,44,3,2,1,1,7,7,7,5,15,0,0,0,0,1,3,5,1,5,5,10,3,5
0,2,20,3,4,3,7,7,7,4,3,15,1,0,0,0,0,3,2,1,5,4,5,1,4
1,1,62,3,4,2,1,1,7,7,4,15,0,1,0,0,0,4,4,2,5,4,10,4,5
0,1,34,4,6,3,4,4,4,3,3,15,0,1,1,0,0,2,2,3,3,3,6,4,3
1,1,67,0,3,3,4,5,5,7,5,15,0,0,0,0,0,4,3,2,4,4,6,3,2
1,1,36,4,7,4,4,7,7,3,2,15,1,0,0,0,0,4,2,1,4,3,8,3,4
0,1,30,5,4,3,4,2,5,3,3,15,0,1,0,0,0,2,2,1,2,4,4,4,4
0,2,55,5,7,4,5,4,7,4,3,15,1,0,0,0,0,2,2,1,2,2,4,1,3
1,2,55,2,7,3,2,7,5,5,4,19,0,0,0,0,1,4,3,2,4,5,10,3,4
1,2,70,3,3,3,1,7,7,7,4,15,0,0,0,0,1,4,4,1,5,5,9,4,5
1,2,46,1,5,3,4,7,7,3,3,15,1,0,0,0,0,1,3,2,3,3,5,3,1
0,1,45,2,6,3,4,7,6,5,4,15,0,1,0,0,0,2,3,1,4,2,7,4,1
0,1,23,4,4,2,7,5,4,7,3,15,0,1,1,0,0,2,2,1,3,2,3,2,3
0,1,44,2,4,2,5,4,4,7,5,15,0,1,0,0,0,2,1,1,1,2,5,2,3
0,2,57,4,6,3,4,7,7,2,2,15,1,0,0,0,0,2,3,1,2,2,3,2,3
1,2,48,3,7,3,4,4,6,6,4,15,0,0,0,0,0,4,3,2,5,5,9,4,4
0,1,69,2,4,3,7,7,7,5,5,15,0,1,0,0,0,1,1,1,3,2,0,3,3
1,1,73,2,4,3,4,7,7,6,3,25,0,0,0,0,0,4,4,1,5,5,8,3,4
1,2,27,4,4,3,3,3,7,7,4,15,0,0,0,1,0,4,4,1,4,4,5,2,4
0,2,47,5,4,3,3,4,4,5,3,15,0,1,0,0,0,3,3,1,2,3,10,2,3
1,2,55,0,6,1,1,7,7,7,5,15,0,0,0,0,0,4,5,2,5,5,10,4,4
0,2,57,4,4,5,5,6,6,5,2,19,0,0,0,0,0,2,4,1,2,4,7,4,2
1,1,37,3,6,2,2,7,7,4,3,15,1,0,0,0,0,3,4,1,4,3,10,4,4
0,1,47,4,6,3,6,5,5,4,4,15,0,1,0,0,0,2,2,1,3,2,7,2,3
1,1,66,5,4,2,4,1,7,7,4,19,1,0,0,0,0,4,4,2,4,3,5,3,3
1,1,53,2,2,1,1,1,5,7,5,15,0,0,0,0,1,4,5,2,5,5,8,3,4
0,1,54,4,5,4,5,6,7,3,4,15,0,1,0,0,0,2,1,1,2,2,5,2,3
0,2,34,4,2,3,5,4,6,4,5,18,0,1,0,0,0,3,2,3,1,1,5,3,4
0,1,33,4,7,3,6,4,7,2,2,16,0,1,1,0,0,3,3,2,3,3,5,3,3
1,1,72,5,4,3,1,1,7,5,3,19,1,0,0,0,0,4,4,1,4,2,6,3,4
0,2,70,2,3,3,5,6,6,5,3,15,0,1,0,0,0,2,3,1,2,2,5,2,3
1,2,61,4,3,3,1,5,7,4,3,15,1,0,0,0,0,3,3,2,4,3,2,4,2
1,2,61,1,2,3,6,1,7,7,4,18,0,0,0,0,0,4,3,1,4,4,5,3,4
0,1,57,3,4,3,4,3,4,3,1,15,1,0,0,0,0,3,2,1,3,2,4,2,4
0,1,74,4,2,3,7,7,7,2,5,15,0,1,0,0,0,1,1,1,1,1,2,1,3
0,1,67,3,5,4,4,6,7,5,3,15,0,1,0,0,0,2,1,1,3,2,7,2,3
0,1,44,3,4,3,5,5,6,7,4,16,0,1,0,0,0,3,3,1,4,2,4,2,3
0,1,40,3,4,3,4,6,5,4,3,15,0,0,0,0,0,3,3,1,2,2,7,1,5
1,2,58,3,4,3,4,7,7,4,3,17,0,0,0,0,0,4,3,1,5,5,10,4,5
0,2,74,1,1,4,7,7,7,6,3,15,0,1,0,0,0,4,3,2,4,4,7,2,3
0,2,46,4,3,3,5,6,7,4,3,15,0,0,0,0,0,2,2,1,2,2,3,1,3
1,1,58,2,4,4,1,7,7,3,3,15,0,0,0,0,1,4,3,1,4,4,6,3,4
0,2,68,4,3,2,4,5,6,4,2,15,0,0,0,0,0,3,3,2,4,4,7,2,2
1,1,37,4,3,3,2,6,4,6,5,15,0,1,1,0,0,3,3,1,4,4,5,3,4
0,2,24,3,4,4,5,6,6,5,4,15,0,1,0,0,0,3,3,3,3,3,5,2,3
0,2,69,5,4,3,5,4,6,3,5,15,0,1,0,0,0,3,1,1,2,2,2,3,3
1,1,51,2,4,1,2,7,7,7,4,15,1,0,0,0,0,4,2,1,5,3,8,3,5
0,2,21,2,4,3,4,5,4,7,4,15,0,0,0,0,0,2,2,1,2,2,5,2,3
1,1,71,0,3,4,1,1,5,2,2,15,1,0,0,0,0,3,2,1,4,4,5,3,4
0,1,72,2,3,3,4,4,7,5,3,15,1,0,0,0,0,3,2,2,4,4,5,3,4
0,1,31,4,7,4,5,6,6,4,5,15,0,1,0,0,0,2,2,1,4,3,5,2,4
0,1,81,4,4,3,4,1,7,4,4,13,0,1,0,0,0,2,2,1,2,2,5,3,3
0,1,21,3,4,3,5,4,5,6,4,13,0,1,1,0,0,2,2,1,2,2,3,2,3
1,1,49,2,4,3,1,7,1,6,4,15,0,0,0,0,1,5,5,1,5,5,8,4,5
0,1,39,5,5,2,7,5,5,7,4,15,0,1,0,0,0,2,1,1,2,1,5,1,2
1,1,41,4,7,1,3,5,7,7,5,15,0,1,0,0,0,5,4,1,5,5,10,5,5
1,2,70,3,7,3,2,7,6,3,3,15,1,0,0,0,0,4,3,2,5,5,9,4,4
0,2,29,2,3,2,4,4,4,5,4,15,0,1,0,0,0,2,3,1,1,1,5,2,3
1,1,54,2,3,2,1,7,3,6,5,15,0,1,0,0,0,3,3,2,5,5,10,3,4
1,2,52,2,5,3,3,7,6,3,3,16,0,0,0,0,0,4,3,2,2,4,10,3,4
1,2,44,4,2,3,1,3,4,7,5,15,0,0,0,0,1,5,5,2,5,5,10,4,5
1,2,29,3,2,3,6,7,7,4,4,15,0,1,0,0,0,3,2,1,4,4,5,2,4
0,2,64,3,4,4,4,7,5,5,3,15,1,0,0,0,0,3,1,1,2,2,7,2,1
0,2,44,3,4,3,4,5,5,4,2,15,1,0,0,0,0,2,4,1,3,3,3,4,2
0,2,22,4,6,4,5,7,7,3,2,15,1,0,0,0,0,1,5,1,5,2,4,1,3
0,1,28,4,6,2,4,1,3,4,4,15,0,0,0,1,0,2,2,1,2,2,5,1,3
1,1,69,3,5,3,3,7,7,4,2,15,1,0,0,0,0,3,4,1,4,3,8,3,4
0,2,20,3,3,3,5,7,7,3,3,15,0,0,0,0,0,2,2,1,3,3,7,2,3
0,2,18,3,4,4,4,6,6,4,4,15,0,1,0,0,0,2,2,1,2,3,5,3,4
1,2,61,2,1,2,1,7,7,3,3,15,0,0,0,0,1,4,3,2,5,5,10,3,4
